uuid,all_uuids,playlist_title,id3_title,new_name,mp3_exists,image_exists
"1a9e0aa2-844e-497e-9f66-914bfc1a377a","1a9e0aa2-844e-497e-9f66-914bfc1a377a","tendants crient ve","95e épisode, où les familles des prétendants crient vengeance","tendants crient ve",True,True
"75299f8c-379a-4b36-af87-abb8557f491c","75299f8c-379a-4b36-af87-abb8557f491c|d61c57ee-bf41-43c2-a43f-074a082b61bb","une vraie paix s_instaure sur Ithaque","96e épisode, où une vraie paix s’instaure sur Ithaque","une vraie paix s_instaure sur Ithaque",True,True
"82c1ce48-a08d-4847-bd00-a40aac69b17c","82c1ce48-a08d-4847-bd00-a40aac69b17c","Ulysse repart pour accomplir son destin","98e épisode, où commence une longue marche","Ulysse repart pour accomplir son destin",True,True
"6f4d0975-d7bf-4214-a160-06a80ad5dd51","6f4d0975-d7bf-4214-a160-06a80ad5dd51","pisode_ qui voit une rame changer de fonction","100e épisode, quand Ulysse et Pénélope se choisissent une patrie","pisode_ qui voit une rame changer de fonction",True,True
"8da27128-a8c2-4e52-8a6c-dcb31bd96cb4","8da27128-a8c2-4e52-8a6c-dcb31bd96cb4|01b6fa7d-8931-464b-832e-889fccd4061f","0Percy Jackson - Le Voleur","Crédits","0Percy Jackson - Le Voleur",True,True
"6a075ef6-ae75-4ec2-b9c3-3eae52b64051","6a075ef6-ae75-4ec2-b9c3-3eae52b64051|7c8e3c6b-cc81-42f5-83c9-184a4c5ebfae","i_6a075ef6-ae75-4ec2-b9c3-3eae52b64051","01_CH_01_LE_VOLEUR_DE_FOUDRE","i_6a075ef6-ae75-4ec2-b9c3-3eae52b64051",True,True
"e0e19c05-e866-43fb-9e88-9afc0b6eb11b","e0e19c05-e866-43fb-9e88-9afc0b6eb11b","i_e0e19c05-e866-43fb-9e88-9afc0b6eb11b","02_CH_02_LE_VOLEUR_DE_FOUDRE","i_e0e19c05-e866-43fb-9e88-9afc0b6eb11b",True,True
"eab6099f-8cd6-4cd6-97ff-3ff28fc3eb8c","eab6099f-8cd6-4cd6-97ff-3ff28fc3eb8c|c04cb339-1639-4db5-aacb-ae4668f35635","0Percy Jackson - Le Voleur de foudr","03_CH_03_LE_VOLEUR_DE_FOUDRE","0Percy Jackson - Le Voleur de foudr",True,True
"cc751f35-d58d-48e8-b3d6-d62e489681cb","cc751f35-d58d-48e8-b3d6-d62e489681cb|58ebeb02-4bcf-4713-9120-2698551b33ef","i_cc751f35-d58d-48e8-b3d6-d62e489681cb","05_CH_04_LE_VOLEUR_DE_FOUDRE","i_cc751f35-d58d-48e8-b3d6-d62e489681cb",True,True
"39fe8ed1-8390-4ddb-9f03-3606dadf64a1","39fe8ed1-8390-4ddb-9f03-3606dadf64a1","i_39fe8ed1-8390-4ddb-9f03-3606dadf64a1","06_CH_05_LE_VOLEUR_DE_FOUDRE","i_39fe8ed1-8390-4ddb-9f03-3606dadf64a1",True,True
"806f3ed3-6e14-4e65-88d5-30e0a60862a7","806f3ed3-6e14-4e65-88d5-30e0a60862a7","dc667-ba01-4fa6-9cbb-50edc779dd73","07_CH_05_LE_VOLEUR_DE_FOUDRE","dc667-ba01-4fa6-9cbb-50edc779dd73",True,True
"095caa36-bb55-4bef-a529-5a2ab5a2c24b","095caa36-bb55-4bef-a529-5a2ab5a2c24b|4efdf0d8-6355-48d0-aeb8-4e3c6242d2ef","i_095caa36-bb55-4bef-a529-5a2ab5a2c24b","08_CH_06_LE_VOLEUR_DE_FOUDRE","i_095caa36-bb55-4bef-a529-5a2ab5a2c24b",True,True
"b421e782-6302-400c-baed-822f727da615","b421e782-6302-400c-baed-822f727da615","i_8f1bd6a8-d2","10_CH_07_LE_VOLEUR_DE_FOUDRE","i_8f1bd6a8-d2",True,True
"a0f6dba7-3939-46b2-b137-345bb3160e4f","a0f6dba7-3939-46b2-b137-345bb3160e4f","fd-48bb-9875-bf03b1747b20","11_CH_08_LE_VOLEUR_DE_FOUDRE","fd-48bb-9875-bf03b1747b20",True,True
"a8983843-45c9-49ff-aaed-8d549dd3eabd","a8983843-45c9-49ff-aaed-8d549dd3eabd|95c0cc0e-21e6-4874-af41-495091207739","i_a8983843-45c9-49ff-aaed-8d549dd3eabd","12_CH_08_LE_VOLEUR_DE_FOUDRE","i_a8983843-45c9-49ff-aaed-8d549dd3eabd",True,True
"c52b3756-0d04-4fe5-be81-f3212cfb6fa4","c52b3756-0d04-4fe5-be81-f3212cfb6fa4","i_06791073-71f4-4bb1","13_CH_09_LE_VOLEUR_DE_FOUDRE","i_06791073-71f4-4bb1",True,True
"600ed6b4-2ac2-4b2c-a66c-66f2147ba48c","600ed6b4-2ac2-4b2c-a66c-66f2147ba48c","b2dd-8d058359b778","14_CH_09_LE_VOLEUR_DE_FOUDRE","b2dd-8d058359b778",True,True
"49ac2682-70ba-48b7-b032-4f21dff66b8c","49ac2682-70ba-48b7-b032-4f21dff66b8c|60578e71-c192-4415-851a-65c1de1e3b39","1Percy Jack","14_CH_09_LE_VOLEUR_DE_FOUDRE","1Percy Jack",True,True
